"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",NA,NA,NA,NA,NA,NA,NA
"Austria",40.36,0.49,13.18,39.83,27.39,40.57,1586.92
"Belgium",603.26,1.96,25.5,196.68,65.92,91.42,1660.42
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Bulgaria",34.99,1.79,1.65,27.02,6.72,8.37,531.99
"Croatia",19.03,0.88,6.11,31.03,8.21,14.32,320.62
"Cyprus",16.65,1.42,2.36,10.98,9.45,11.81,108.38
"Czech Republic",148.69,0.8,5.67,19.19,7.79,13.47,1319.87
"Denmark",25.8,0.81,18.57,35.94,19.88,38.45,3436.13
"England and Wales",744.32,NA,62.07,88.27,NA,NA,2215.82
"Estonia",7.45,3.19,12.24,25.63,9.35,21.6,863.51
"Finland",28.22,1.61,19.23,28.33,31.74,50.97,1781.22
"Former Yugoslav Republic of Macedonia, the",NA,NA,NA,NA,NA,NA,NA
"France",367.19,1.53,19.49,157.79,30.06,49.54,1846.91
"Germany",156.9,0.81,8.65,55.01,33.55,42.2,1646.84
"Greece",14.96,0.79,1.12,39.75,3.52,4.64,923.72
"Hungary",127.8,1,3.84,14.64,2.45,6.28,1031.67
"Iceland",25.83,0.91,54.09,16.1,NA,NA,1225.16
"Ireland",321.48,1.32,11.62,55.63,34.74,46.36,1500.6
"Italy",105.34,0.77,NA,57.68,6.58,NA,1719.49
"Kosovo (under United Nations Security Council Resolution 1244/99)",NA,NA,NA,NA,NA,NA,NA
"Latvia",26.89,4.08,3.02,39.22,10.62,13.64,976.14
"Liechtenstein",329.18,0,2.68,8.03,42.82,45.5,516.51
"Lithuania",7.33,5.75,5.31,54.43,7.46,12.77,688.78
"Luxembourg",108,0.89,12.08,98.41,51.16,63.24,1650.74
"Malta",42.62,0.93,5.36,56.37,18.87,24.22,2015.4
"Montenegro",22.5,2.73,0.8,25.08,3.38,4.18,132.94
"Netherlands",282.21,NA,7.07,56.89,36.45,43.52,3219.39
"Northern Ireland (UK)",65.29,1.25,38.66,43.85,116.89,155.54,1300.2
"Norway",NA,NA,NA,NA,NA,NA,NA
"Poland",14.52,0.75,3.24,21.42,1.4,4.64,363.54
"Portugal",4.52,0.96,3.61,149.13,21.24,24.86,832.95
"Romania",1.5,1.46,5.11,16.9,3.24,8.35,545.72
"Scotland",NA,NA,NA,NA,145.04,NA,NA
"Serbia",16.05,1.28,0.86,42.59,3.91,4.76,317.71
"Slovakia",35.05,0.89,1.6,9.94,10.29,11.9,444.37
"Slovenia",74.65,0.97,2.04,11.25,10.47,12.51,1105.16
"Spain",62.55,0.65,2.65,139.03,18.6,21.25,442.96
"Sweden",47.52,1.15,56.88,86.8,120.79,177.67,3828.01
"Switzerland",7.48,0.69,6.46,39.8,26.44,32.9,1772.66
"Turkey",NA,NA,NA,NA,NA,NA,NA
